movie_id,title,year,runtime,genres,actor_ids
tt10396038,Neither Hero Nor Traitor,2020,73,"Drama,History","nm6286339,nm0261957,nm8358700,nm7506705"
tt10397306,Madison,2020,87,"Adventure,Drama,Family","nm10055076,nm0525518,nm0913217,nm12691322"
tt10397752,Disordered,2020,89,"Animation,Documentary,Family",nm11496979
tt10414756,Party Hard,2020,103,"Comedy,Drama","nm6073478,nm10731923,nm10731924,nm4581810"
tt10423160,Kaiji: Final Game,2020,128,Adventure,"nm7139946,nm0297885,nm4445437,nm3810403,nm5018289,nm2968873,nm4341140,nm10421125"
tt10935362,The Demon of Daingerfield,2020,\N,Horror,nm4049779
tt10936214,Bring 'em Black,2020,120,Western,"nm1253986,nm9555778,nm8531011,nm5274937"
tt10937670,Figli,2020,97,Comedy,"nm0348347,nm0181246,nm0557609,nm2862095"
tt10943622,This Is Not Normal,2020,\N,Documentary,"nm1171860,nm1544202"
tt10944276,Death of a Telemarketer,2020,88,"Comedy,Drama,Thriller","nm2031358,nm0355097,nm0005286,nm5131141"
tt10955330,Hotline,2020,\N,Horror,nm10957488
tt10961186,A Starry Sky Above the Roman Ghetto,2020,100,Drama,"nm10902118,nm0059698,nm7754164,nm8035760"
tt10962562,All-American Boy,2020,110,Drama,"nm10035815,nm6565848,nm2326082,nm5869699"
tt10962762,Built Beautiful: An Architecture and Neuroscience Love Story with Narration by Martha Stewart,2020,\N,Documentary,nm11908624
tt10968008,Taanashah,2020,101,"Action,Drama","nm10991909,nm2336177,nm10991910,nm11254003"
tt10969190,Stick Monster Movie,2020,\N,Fantasy,"nm8762035,nm4027115"
tt10975262,Pygmalionnes,2020,85,Documentary,nm3691738
tt10975750,Concrete Plans,2020,91,"Crime,Thriller","nm2041861,nm2295590,nm2687517,nm2362244"
tt11702936,Globos Negros,2020,\N,Thriller,"nm4562853,nm10566774,nm9765788,nm10851996,nm6636916,nm7931396,nm7448709"
tt11705758,Mascarados,2020,66,Drama,"nm11315720,nm11315721,nm8258340,nm11315722"
tt11713638,Aos Pedaços,2020,93,Drama,"nm3804032,nm0210267,nm0819324,nm3853380"
tt11715202,Gabriel Medina,2020,79,"Documentary,Sport","nm2150114,nm11331153,nm11331158,nm11331156"
tt11718726,The Industry Did It,2020,87,"Comedy,Thriller","nm6558437,nm4466949,nm7936269,nm3916005,nm0342214"
tt11722496,Alone with Bigfoot,2020,\N,Horror,"nm11322179,nm8880981,nm9449615,nm10033383,nm10314830,nm8780809,nm8751933"
tt11727052,The Closet,2020,97,"Horror,Mystery","nm12246128,nm1978402,nm9513217,nm2339825,nm10870914"
tt11728340,Maria Solinha,2020,\N,Drama,"nm11325238,nm8525515,nm1139204,nm0729345"
tt11730326,Too Soon,2020,82,Drama,"nm2988369,nm7244751,nm10245427,nm11326770"
tt11731768,Ka Pae Ranasingam,2020,177,Drama,"nm5781594,nm4043111,nm6106368,nm7945153"
tt12251710,The Pink Triangle,2020,\N,History,"nm4250622,nm11011283,nm11025825,nm11302147"
tt12264550,Dog Geniuses: Woodland Creatures,2020,62,"Animation,Family","nm10129077,nm2993483,nm10451907,nm12750727"
tt11704342,Magari resto,2020,97,"Comedy,Drama,Romance","nm3716786,nm3010664,nm0516272,nm0211599"
tt12273300,Ian Cranstons Book of Legends,2020,52,Comedy,nm3753506
tt12273330,Preet Ka Daman,2020,\N,Family,"nm11558293,nm11558294"
tt12274228,Rent-A-Pal,2020,108,"Horror,Thriller","nm1870529,nm0000696,nm5233833,nm2674088"
tt12274414,Righteous Reset,2020,\N,Documentary,nm9656892
tt12275096,Love Lockdown,2020,70,"Romance,Thriller","nm1382363,nm7396516,nm1284020,nm3477347"
tt12278678,The Lifting,2020,\N,Drama,"nm10928037,nm1860704,nm3264655,nm9556419,nm9224051,nm2559857,nm2076506,nm7781965,nm5725810"
tt12280764,Red River Road,2020,89,"Horror,Thriller","nm11618885,nm6499171,nm0776949"
tt12289510,Sexy Underwear,2020,\N,"Comedy,Romance","nm7278311,nm6160620"
tt13059804,Impionçable,2020,83,Drama,"nm7916484,nm8522417,nm11617021,nm7557196"
tt13068388,Vacarme,2020,77,Drama,"nm11887165,nm1538828,nm9374927,nm2047049"
tt13068068,Sleepaway Slasher,2020,101,Horror,"nm8346956,nm2989840,nm7464335,nm5826566"
tt13069610,My Life Is A Lie,2020,\N,Drama,nm10093232
tt13072896,Die SMS,2020,\N,Horror,"nm0462956,nm1517204,nm13764881,nm1957436,nm8758985"
tt13073336,The Vast Deep Empty,2020,\N,Drama,"nm11386658,nm11893593,nm3238853,nm11893591,nm11893589,nm11893590,nm1842898,nm11893592"
tt13073374,The Calm Beyond,2020,95,"Drama,Sci-Fi,Thriller","nm2745297,nm11889898,nm0948045,nm3807582"
tt13074630,Paranoia Tapes: Greatest Hits,2020,130,Horror,"nm3527272,nm11340855,nm3833637"
tt13075590,Picture of You,2020,88,Drama,"nm6048575,nm7927106,nm5146714,nm5370996,nm8924327,nm9045347,nm9377261"
tt13082696,Illuminate - Alda Merini,2020,45,"Biography,Documentary","nm0314358,nm0006707"
tt13084164,"Everything is A OK: A Dallas, TX punk documentary",2020,\N,"Documentary,Music","nm0973451,nm5483602,nm3417403,nm11208956"
tt13086926,Cage,2020,48,Documentary,"nm11896979,nm11896977,nm11625333,nm11625335,nm11896484,nm11896483"
tt13833798,Death of a Rockstar,2020,92,"Animation,Comedy,Musical","nm7888540,nm12227225"
tt13837584,Fedora: Opera Film,2020,90,Music,"nm12229171,nm12229165,nm12229166,nm12229167,nm12229168,nm12229169,nm12229170"
tt13840104,Death of a Clown,2020,70,"Horror,Thriller","nm10740420,nm12230009,nm12230010,nm7085720"
tt13841648,The Final Ride,2020,92,Action,"nm8335526,nm12231338"
tt13842564,The New Order,2020,50,Horror,"nm12231825,nm9648302,nm5262783,nm6592405"
tt13860594,Em Nome da Lei - Parte II,2020,102,"Action,Comedy","nm11075668,nm12240505,nm5538516,nm12239506,nm12239505,nm12240504,nm11075671"
tt13872708,Realnye patsany protiv zombi,2020,88,"Comedy,Sci-Fi","nm3538929,nm4311415,nm4310050,nm4311134"
tt14508476,Tails from the Cat: Gruesome Gore,2020,\N,Horror,"nm12511652,nm5032583"
tt14509378,I Never Shot Anyone,2020,100,"Comedy,Crime","nm1800111,nm0251139,nm0256628,nm1504747,nm1526504,nm3727552,nm0394670"
tt14534436,Who Killed JFK: The Conspiracies,2020,54,"Crime,Documentary",nm10655915
tt14534636,Love Qubool Hai,2020,94,"Drama,Romance","nm14556287,nm11747349,nm12522658,nm12522657"
tt14535574,The Rise of K-Pop,2020,\N,"Documentary,Music","nm7808003,nm12641331"
tt15288590,Grandma's Dirty Little Secrets 2,2020,121,Adult,"nm1783582,nm9555013,nm10820272"
tt15292708,The Basement,2020,94,"Drama,Sci-Fi","nm12875132,nm12875131,nm12875133"
tt15299278,For the love of dance,2020,59,Documentary,"nm2101347,nm12878126,nm12657400,nm12878128"
tt15301370,Shanty Town,2020,56,Comedy,"nm7227143,nm7017328,nm11116263,nm9942440"
tt16154612,iSynthPurple,2020,\N,Documentary,nm13138019
tt16161396,Swapped,2020,\N,Drama,"nm2935173,nm12990717,nm2517679,nm10658550"
tt16161866,Love Child,2020,120,Drama,"nm2933735,nm10403875,nm13183392,nm10658550"
tt16163528,Zombi Ritual,2020,52,Horror,"nm13142204,nm13142206,nm13142205,nm13142203"
tt16199286,Uneven,2020,\N,Romance,"nm8040682,nm14937660,nm10055098,nm14937659"
tt16220176,WWII Aircraft: Designed for Victory,2020,\N,"Documentary,War",nm6133613
tt17506514,Omoge,2020,\N,Drama,"nm13162383,nm8888615,nm3612167,nm13183392"
tt19226272,Re Minore,2020,123,Drama,"nm11475018,nm13528830,nm5412860,nm8885288"
tt19297264,Magic afternoon,2020,120,Adult,"nm7067467,nm5221471,nm11746335,nm12098816,nm9520393,nm11968723,nm11737631,nm10020347"
tt19297556,Girls' Playground,2020,145,Adult,"nm5700987,nm4349534,nm11746335,nm9846911,nm9903898,nm10432000,nm8695410,nm8695651"
tt19297728,Lesbian cuties,2020,130,Adult,"nm5700987,nm8423631,nm10219276,nm10997390,nm10555443,nm5165067,nm11737631,nm5135176"
tt21068498,Seized,2020,\N,Thriller,"nm5379363,nm13059772,nm8972134,nm13038708,nm2281113"
tt21073874,Super Smash Bros Ultimate the Movie Real Life Action,2020,\N,Action,"nm13769652,nm13769651,nm13769653,nm13004010,nm13769649,nm13524625,nm8427916,nm13768484,nm13769650"
tt21075294,Lekki on Arrival,2020,\N,Drama,"nm12241718,nm13425829,nm6777570,nm13289569"
tt2226162,Hunter Hunter,2020,93,"Drama,Horror,Mystery","nm0837992,nm5640132,nm0001701,nm0001763"
tt22298768,Notre heure de fin,2020,240,Drama,"nm1354885,nm5890176,nm3849420,nm2812900"
tt26835691,Ettù parànu: Where the Valleys Still Play,2020,52,Documentary,nm14592888
tt26898886,Trauma in Paradise,2020,\N,Drama,"nm9598536,nm3885890,nm12819483,nm7176650"
tt27788671,Art of Fighting 1,2020,\N,Action,"nm14863000,nm14862998,nm14862999"
tt5564718,Halibut,2020,91,Comedy,"nm8007639,nm6020419"
tt6156272,The Fashion Lover,2020,75,Drama,"nm0004258,nm8584175,nm1001317,nm2644990"
tt6842770,Wild Mountain Thyme,2020,102,"Comedy,Drama,Romance","nm1289434,nm1946193,nm0358316,nm0000686"
tt7755302,The Heart of Darkness,2020,\N,Documentary,nm2099261
tt8502944,Running Naked,2020,92,"Comedy,Drama","nm2332660,nm1708957,nm7584343,nm2439913"
tt8516398,Misfits of the Profane,2020,100,Drama,"nm5971347,nm4266787,nm6565973,nm8953693"
tt8524650,Monster Zone,2020,85,"Adventure,Animation,Family","nm0068260,nm3199307,nm13372260,nm2398785"
tt8528674,I Know You,2020,98,Horror,"nm8309579,nm6802103,nm6151621,nm9909528"
tt9264728,What Lies Below,2020,87,"Drama,Horror,Mystery","nm7036568,nm4841621,nm5775847,nm0002546"
tt9305634,Surge,2020,105,Thriller,"nm0924210,nm7744472,nm13331827,nm6157473"
tt11719648,Dry Wind,2020,110,Drama,"nm9463560,nm6784988,nm11321538,nm7988463,nm5880021,nm11426633"
tt4558716,7000 Miles,2020,\N,Documentary,nm7097034
tt10466338,Whirlpool,2020,\N,Drama,nm1827483
tt10467054,Threads - Our Tapestry of Love,2020,130,Romance,"nm3397795,nm4027243,nm5862455,nm6311645,nm0047963,nm1966152"
tt10481968,The Lion Rock,2020,97,"Comedy,Drama,Romance","nm3084811,nm10130275,nm2846183,nm2717364,nm12505148,nm1747326"
tt10484744,The Oratorio,2020,63,"Biography,Documentary,History","nm0300712,nm11322686,nm0719954"
tt10492998,I Hate Summer,2020,110,Comedy,"nm0017623,nm0320495,nm0316034,nm1779469,nm5773713"
tt10978584,Maniac Driver,2020,75,"Action,Horror,Mystery","nm3859740,nm1241578,nm7821993,nm1993800,nm4784935,nm7822037,nm4977260,nm1071083"
tt10999932,Boogers of the Antichrist,2020,\N,Horror,"nm6687657,nm11006081,nm11006082,nm1754496,nm3151199,nm7159287,nm7503597"
tt11006244,Julia muss sterben,2020,95,"Comedy,Drama","nm5063143,nm0066897,nm0075616,nm5109749"
tt11011508,Dispatched,2020,76,"Action,Drama","nm8330146,nm7586556,nm0001002,nm8825502,nm11030784,nm7429538,nm9384895,nm9259643"
tt11591354,Ensaio Sobre o Fracasso,2020,70,\N,"nm8298560,nm0407235,nm3080507,nm2103090,nm8329667,nm6785436"
tt11593986,A Mother,2020,83,Drama,"nm1169643,nm4225254,nm4702405,nm0883989"
tt11599280,Wild Boar,2020,97,\N,"nm14898297,nm14898286,nm14898290,nm14898293,nm10452610,nm14895615,nm14898296"
tt11600948,Choices,2020,\N,Drama,"nm2215609,nm0012398,nm3906542,nm0130438,nm3673695,nm8413691"
tt11602648,TFW NO GF,2020,83,Documentary,nm0345798
tt11603794,Superman,2020,\N,Romance,"nm5299622,nm5706132"
tt11615840,What If I Defect?,2020,\N,"Drama,Romance","nm9324189,nm6229350,nm5378162,nm11276208,nm4230356"
tt11617492,Orbius,2020,570,Fantasy,"nm5954636,nm8379246"
tt11625100,The Metamorphosis of Birds,2020,101,"Biography,Documentary,Drama","nm11280870,nm11280871,nm11280872,nm11280873"
tt12378120,Koakuma tsuma: Binyû de izanau,2020,\N,\N,"nm11604277,nm11604274,nm11604275,nm1399111,nm5037193,nm11604223,nm11604276"
tt12390580,Lockdown,2020,63,Drama,"nm1202468,nm1268786,nm1176456,nm1553907"
